season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,230,VIR,Virtus Bologna,ULK,Fenerbahce Beko Istanbul,4,80,85,578,False
E2025,231,IST,Anadolu Efes Istanbul,OLY,Olympiacos Piraeus,4,68,74,511,False
E2025,232,MUN,FC Bayern Munich,PAM,Valencia Basket,4,93,89,640,False
E2025,233,TEL,Maccabi Rapyd Tel Aviv,PAN,Panathinaikos AKTOR Athens,4,75,71,496,False
E2025,234,PRS,Paris Basketball,DUB,Dubai Basketball,4,79,99,605,False
E2025,235,MAD,Real Madrid,MCO,AS Monaco,4,90,78,520,False
E2025,236,MIL,EA7 Emporio Armani Milan,ZAL,Zalgiris Kaunas,4,82,86,563,False
E2025,237,ULK,Fenerbahce Beko Istanbul,BAS,Kosner Baskonia Vitoria-Gasteiz,4,84,71,581,False
E2025,238,ASV,LDLC ASVEL Villeurbanne,BAR,FC Barcelona,4,91,98,508,False
E2025,239,PAR,Partizan Mozzart Bet Belgrade,HTA,Hapoel IBI Tel Aviv,5,104,101,622,False
E2025,240,VIR,Virtus Bologna,RED,Crvena Zvezda Meridianbet Belgrade,4,93,102,547,False
E2025,241,PRS,Paris Basketball,MAD,Real Madrid,4,98,92,596,False
E2025,242,ULK,Fenerbahce Beko Istanbul,IST,Anadolu Efes Istanbul,4,79,62,502,False
E2025,243,HTA,Hapoel IBI Tel Aviv,MUN,FC Bayern Munich,4,64,79,488,False
E2025,244,OLY,Olympiacos Piraeus,BAR,FC Barcelona,4,87,75,526,False
E2025,245,PAM,Valencia Basket,TEL,Maccabi Rapyd Tel Aviv,4,94,83,622,False
E2025,246,MIL,EA7 Emporio Armani Milan,PAR,Partizan Mozzart Bet Belgrade,4,85,79,527,False
E2025,247,MCO,AS Monaco,VIR,Virtus Bologna,4,82,84,505,False
E2025,248,BAS,Kosner Baskonia Vitoria-Gasteiz,ZAL,Zalgiris Kaunas,4,102,91,570,False
